Time,PacketsReceived,Distance
1.00369,1,11.0037
1.10369,2,11.1037
1.20369,3,11.2037
1.30369,4,11.3037
1.40369,5,11.4037
1.50369,6,11.5037
1.60369,7,11.6037
1.70369,8,11.7037
1.80369,9,11.8037
1.90369,10,11.9037
2.00369,11,12.0037
2.10369,12,12.1037
2.20369,13,12.2037
2.30369,14,12.3037
2.40369,15,12.4037
2.50369,16,12.5037
2.60369,17,12.6037
2.70369,18,12.7037
2.80369,19,12.8037
2.90369,20,12.9037
3.00369,21,13.0037
3.10369,22,13.1037
3.20369,23,13.2037
3.30369,24,13.3037
3.40369,25,13.4037
3.50369,26,13.5037
3.60369,27,13.6037
3.70369,28,13.7037
3.80369,29,13.8037
3.90369,30,13.9037
4.00369,31,14.0037
4.10369,32,14.1037
4.20369,33,14.2037
4.30369,34,14.3037
4.40369,35,14.4037
4.60369,36,14.6037
4.70369,37,14.7037
4.80369,38,14.8037
4.90369,39,14.9037
5.00369,40,15.0037
5.10369,41,15.1037
5.20369,42,15.2037
5.30369,43,15.3037
5.40369,44,15.4037
5.50369,45,15.5037
5.60369,46,15.6037
5.70369,47,15.7037
5.80369,48,15.8037
5.90369,49,15.9037
6.00369,50,16.0037
6.10369,51,16.1037
6.20369,52,16.2037
6.30369,53,16.3037
6.40369,54,16.4037
6.50369,55,16.5037
6.60369,56,16.6037
6.70369,57,16.7037
6.80369,58,16.8037
6.90369,59,16.9037
7.00369,60,17.0037
7.10369,61,17.1037
7.20369,62,17.2037
7.30369,63,17.3037
7.40369,64,17.4037
7.50369,65,17.5037
7.60369,66,17.6037
7.70369,67,17.7037
7.80369,68,17.8037
7.90369,69,17.9037
8.00369,70,18.0037
8.10369,71,18.1037
8.20369,72,18.2037
8.30369,73,18.3037
8.40369,74,18.4037
8.50369,75,18.5037
8.60369,76,18.6037
8.70369,77,18.7037
8.80369,78,18.8037
8.90369,79,18.9037
9.00369,80,19.0037
9.10369,81,19.1037
9.20369,82,19.2037
9.30369,83,19.3037
9.40369,84,19.4037
9.50369,85,19.5037
9.60369,86,19.6037
9.70369,87,19.7037
9.80369,88,19.8037
9.90369,89,19.9037
10.0037,90,20.0037
10.1037,91,20.1037
10.2037,92,20.2037
10.3037,93,20.3037
10.4037,94,20.4037
10.5037,95,20.5037
10.6037,96,20.6037
10.7037,97,20.7037
10.8037,98,20.8037
10.9037,99,20.9037
11.1037,100,21.1037
11.2037,101,21.2037
11.3037,102,21.3037
11.4037,103,21.4037
11.5037,104,21.5037
11.6037,105,21.6037
11.7037,106,21.7037
11.8037,107,21.8037
12.0037,108,22.0037
12.1037,109,22.1037
12.2037,110,22.2037
12.3037,111,22.3037
12.4037,112,22.4037
12.5037,113,22.5037
12.6037,114,22.6037
12.7037,115,22.7037
12.8037,116,22.8037
12.9037,117,22.9037
13.0037,118,23.0037
13.1037,119,23.1037
13.2037,120,23.2037
13.3037,121,23.3037
13.4037,122,23.4037
13.5037,123,23.5037
13.6037,124,23.6037
13.7037,125,23.7037
13.8037,126,23.8037
13.9037,127,23.9037
14.0037,128,24.0037
14.1037,129,24.1037
14.2037,130,24.2037
14.3037,131,24.3037
14.4037,132,24.4037
14.5037,133,24.5037
14.6037,134,24.6037
14.7037,135,24.7037
14.8037,136,24.8037
14.9037,137,24.9037
15.0037,138,25.0037
15.1037,139,25.1037
15.2037,140,25.2037
15.3037,141,25.3037
15.4037,142,25.4037
15.5037,143,25.5037
15.6037,144,25.6037
15.7037,145,25.7037
15.8037,146,25.8037
15.9037,147,25.9037
16.0037,148,26.0037
16.1037,149,26.1037
16.2037,150,26.2037
16.3037,151,26.3037
16.4037,152,26.4037
16.5037,153,26.5037
16.6037,154,26.6037
16.7037,155,26.7037
16.8037,156,26.8037
16.9037,157,26.9037
17.0037,158,27.0037
17.1037,159,27.1037
17.2037,160,27.2037
17.3037,161,27.3037
17.4037,162,27.4037
17.5037,163,27.5037
17.6037,164,27.6037
17.7037,165,27.7037
17.8037,166,27.8037
17.9037,167,27.9037
18.0037,168,28.0037
18.1037,169,28.1037
18.2037,170,28.2037
18.3037,171,28.3037
18.4037,172,28.4037
18.5037,173,28.5037
18.6037,174,28.6037
18.7037,175,28.7037
18.8037,176,28.8037
18.9037,177,28.9037
19.0037,178,29.0037
19.1037,179,29.1037
19.2037,180,29.2037
19.3037,181,29.3037
19.4037,182,29.4037
19.5037,183,29.5037
19.6037,184,29.6037
19.7037,185,29.7037
19.8037,186,29.8037
19.9037,187,29.9037
20.0037,188,30.0037
20.1037,189,30.1037
20.2037,190,30.2037
20.3037,191,30.3037
20.4037,192,30.4037
20.5037,193,30.5037
20.6037,194,30.6037
20.7037,195,30.7037
20.8037,196,30.8037
20.9037,197,30.9037
21.0037,198,31.0037
21.1037,199,31.1037
21.2037,200,31.2037
21.3037,201,31.3037
21.4037,202,31.4037
21.5037,203,31.5037
21.6037,204,31.6037
21.7037,205,31.7037
21.8037,206,31.8037
21.9037,207,31.9037
22.0037,208,32.0037
22.1037,209,32.1037
22.2037,210,32.2037
22.3037,211,32.3037
22.4037,212,32.4037
22.5037,213,32.5037
22.6037,214,32.6037
22.7037,215,32.7037
22.8037,216,32.8037
22.9037,217,32.9037
23.0037,218,33.0037
23.1037,219,33.1037
23.2037,220,33.2037
