Time,PacketsReceived
1.01159,1
1.10284,2
1.20284,3
1.30284,4
1.40284,5
1.50284,6
1.60284,7
1.7019,8
1.8019,9
1.9019,10
2.0019,11
2.1019,12
2.2019,13
2.3019,14
2.4019,15
2.5019,16
2.6019,17
2.70143,18
2.80143,19
2.90143,20
3.00143,21
3.10143,22
3.20143,23
3.30143,24
3.40143,25
3.50143,26
3.60143,27
3.70096,28
3.80096,29
3.90096,30
4.00096,31
4.10096,32
4.20096,33
4.30096,34
4.40096,35
4.50096,36
4.60096,37
4.70073,38
4.80073,39
4.90073,40
5.00073,41
5.10073,42
5.20073,43
5.30073,44
5.40073,45
5.50073,46
5.60073,47
5.70049,48
5.80049,49
5.90049,50
6.00049,51
6.10049,52
6.20049,53
6.30049,54
6.40049,55
6.50049,56
6.60049,57
6.70038,58
6.80038,59
6.90038,60
7.00038,61
7.10038,62
7.20038,63
7.30038,64
7.40038,65
7.50038,66
7.60038,67
7.70034,68
7.80034,69
7.90034,70
8.00034,71
8.10034,72
8.20034,73
8.30034,74
8.40034,75
8.50034,76
8.60034,77
8.70034,78
8.80034,79
8.90034,80
9.00034,81
9.10034,82
9.20034,83
9.30034,84
9.40034,85
9.50034,86
9.60034,87
9.70034,88
9.80034,89
9.90034,90
10.0003,91
10.1003,92
10.2017,93
10.3004,94
10.4004,95
10.5004,96
10.6004,97
10.7004,98
10.8004,99
10.9004,100
11.0004,101
11.1004,102
11.2009,103
11.3004,104
11.4004,105
11.5004,106
11.6004,107
11.7004,108
11.8018,109
11.9005,110
12.0005,111
12.1005,112
12.2005,113
12.3005,114
12.4005,115
12.5005,116
12.6005,117
12.7005,118
12.8011,119
12.9005,120
13.0005,121
13.1005,122
13.2005,123
13.3005,124
13.4005,125
13.5005,126
13.6005,127
13.7005,128
13.8005,129
13.9005,130
14.0005,131
14.1005,132
14.2005,133
14.3005,134
14.4005,135
14.5005,136
14.6005,137
14.7005,138
14.8012,139
14.9005,140
15.0005,141
15.1005,142
15.2005,143
15.3005,144
15.4005,145
15.5005,146
15.6005,147
15.7005,148
15.8005,149
15.9005,150
16.0026,151
16.1007,152
16.2007,153
16.3007,154
16.4007,155
16.5007,156
16.6007,157
16.7007,158
16.8007,159
16.9007,160
17.0015,161
17.1007,162
17.2007,163
17.3007,164
17.4007,165
17.5007,166
17.6007,167
17.7007,168
17.8007,169
17.9007,170
18.0007,171
18.1016,172
18.2007,173
18.3007,174
18.4007,175
18.5007,176
18.6007,177
18.7007,178
18.8007,179
18.9007,180
19.0007,181
19.1007,182
19.2007,183
19.3007,184
19.4007,185
19.5007,186
19.6007,187
19.7007,188
19.8007,189
19.9015,190
20.0007,191
20.1017,192
20.2031,193
20.301,194
20.401,195
20.501,196
20.601,197
20.701,198
20.801,199
20.901,200
21.001,201
21.101,202
21.2018,203
21.301,204
21.401,205
21.501,206
21.601,207
21.701,208
21.801,209
21.901,210
22.001,211
22.101,212
22.201,213
22.301,214
22.401,215
22.501,216
22.601,217
22.701,218
22.801,219
22.901,220
